instancia,n,alpha,pop,crossover,mutation,max_gen,patience,seed,gen_alcanzado,evaluaciones,fitness,costo,penalizacion,nodos_construidos,nodos_total,factible,wall_s,nodos_ids
evcsReal_N100_A0.10_S71.txt,100,0.10,20,0.9,0.010000,4000,200,1,846,16920,1.10837e+07,1.10837e+07,0,49,100,si,0.93,2;8;9;10;17;18;19;20;22;23;24;27;28;29;30;31;32;33;34;35;36;37;38;39;40;49;51;52;60;61;63;64;65;67;68;69;71;72;73;74;75;76;77;78;79;80;81;88;97
evcsReal_N100_A0.10_S71.txt,100,0.10,20,0.9,0.010000,4000,200,3,529,10580,1.21683e+07,1.21683e+07,0,49,100,si,0.60,3;18;19;20;21;22;23;27;28;29;31;32;33;34;35;36;37;38;39;40;49;50;52;59;60;61;62;63;64;65;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;87;91;97;98
evcsReal_N100_A0.05_S71.txt,100,0.05,200,0.9,0.010000,4000,200,1,747,149400,3.48934e+07,3.48934e+07,0,70,100,si,11.46,5;7;8;9;10;11;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;49;50;51;52;57;58;59;60;61;62;63;64;65;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;84;85;86;87;88;89;90;91;92;96;97;98
evcsReal_N100_A0.10_S71.txt,100,0.10,20,0.9,0.010000,4000,200,2,1399,27980,8.90053e+06,8.90053e+06,0,47,100,si,1.99,10;11;19;20;21;22;23;24;26;28;29;30;31;32;33;34;35;36;37;38;39;40;51;59;60;61;62;63;64;65;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;87;98
evcsReal_N100_A0.10_S71.txt,100,0.10,20,0.9,0.010000,4000,200,5,847,16940,8.86662e+06,8.86662e+06,0,46,100,si,1.42,9;10;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;59;60;61;62;63;64;65;67;69;70;71;72;73;74;75;76;77;78;79;80;81;87;98
evcsReal_N100_A0.10_S71.txt,100,0.10,20,0.9,0.010000,4000,200,4,1263,25260,9.63713e+06,9.63713e+06,0,47,100,si,2.08,2;8;11;17;18;19;20;21;22;23;24;27;29;30;31;32;33;34;35;36;37;38;39;40;59;60;61;62;63;64;65;68;69;71;72;73;74;75;76;77;78;79;80;81;87;91;98
evcsReal_N100_A0.10_S71.txt,100,0.10,50,0.9,0.010000,4000,200,1,773,38650,1.66031e+07,1.66031e+07,0,49,100,si,2.42,4;7;8;11;14;19;20;22;23;24;27;28;29;30;31;32;33;34;35;36;37;38;39;40;49;52;56;58;60;61;63;64;65;67;68;69;71;72;73;74;76;77;78;79;80;81;90;97;98
evcsReal_N100_A0.10_S71.txt,100,0.10,50,0.9,0.010000,4000,200,2,490,24500,1.68697e+07,1.68697e+07,0,50,100,si,1.59,10;11;16;17;18;19;20;22;23;24;26;30;31;32;33;34;35;36;37;38;39;40;45;49;50;51;53;58;59;60;61;62;63;64;65;68;69;71;72;73;74;76;77;78;79;80;81;87;97;98
evcsReal_N100_A0.10_S71.txt,100,0.10,50,0.9,0.010000,4000,200,5,535,26750,1.27414e+07,1.27414e+07,0,48,100,si,1.45,2;7;9;13;17;18;19;20;22;23;24;26;27;30;31;32;33;34;35;36;37;38;39;40;51;58;59;60;61;62;63;64;65;68;69;70;71;72;73;74;76;77;78;79;80;81;97;98
evcsReal_N100_A0.10_S71.txt,100,0.10,50,0.9,0.010000,4000,200,3,783,39150,1.57196e+07,1.57196e+07,0,49,100,si,3.37,4;7;9;10;11;18;19;20;21;23;24;26;28;30;31;32;33;34;35;36;37;38;39;40;48;49;51;52;59;60;61;62;63;64;67;69;71;72;73;74;75;76;77;78;79;80;81;87;99
evcsReal_N100_A0.05_S71.txt,100,0.05,200,0.9,0.010000,4000,200,4,821,164200,4.51968e+07,4.51968e+07,0,73,100,si,12.75,4;7;8;9;11;12;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;42;46;47;49;51;52;53;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;87;89;90;91;92;93;94;96;97;98;99
evcsReal_N100_A0.10_S71.txt,100,0.10,50,0.9,0.010000,4000,200,4,725,36250,1.26133e+07,1.26133e+07,0,48,100,si,3.11,2;4;9;10;11;19;20;21;22;23;28;29;30;31;32;33;34;35;36;37;38;39;40;49;52;58;60;61;62;63;64;65;67;69;70;71;72;73;74;76;77;78;79;80;81;88;90;91
evcsReal_N100_A0.05_S71.txt,100,0.05,200,0.9,0.010000,4000,200,5,505,101000,4.72206e+07,4.72206e+07,0,78,100,si,10.41,2;4;5;7;8;9;11;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;42;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;86;87;88;89;90;91;92;94;95;96;97;98;99
evcsReal_N100_A0.10_S71.txt,100,0.10,100,0.9,0.010000,4000,200,1,556,55600,1.88478e+07,1.88478e+07,0,51,100,si,3.10,2;7;11;18;19;20;23;24;27;28;30;31;32;33;34;35;36;37;38;39;40;45;49;59;60;61;62;63;64;68;69;70;71;72;73;74;75;76;77;78;79;80;81;83;84;89;90;95;96;97;98
evcsReal_N100_A0.10_S71.txt,100,0.10,100,0.9,0.010000,4000,200,4,519,51900,2.19427e+07,2.19427e+07,0,51,100,si,4.57,1;2;5;6;11;18;19;20;21;22;23;24;29;30;31;32;33;35;36;37;38;39;40;46;49;51;52;58;60;61;63;64;69;71;72;73;74;75;76;77;78;79;80;81;82;87;88;90;97;98;99
evcsReal_N100_A0.10_S71.txt,100,0.10,100,0.9,0.010000,4000,200,3,651,65100,1.63873e+07,1.63873e+07,0,49,100,si,5.20,14;17;19;20;21;22;23;24;27;28;30;31;32;33;34;35;36;37;38;39;40;47;49;50;51;52;58;60;61;62;63;64;67;69;70;71;72;73;74;75;76;77;78;79;80;81;87;89;93
evcsReal_N100_A0.10_S71.txt,100,0.10,100,0.9,0.010000,4000,200,5,647,64700,1.63849e+07,1.63849e+07,0,49,100,si,5.16,4;7;10;17;19;20;21;22;23;26;27;28;30;31;32;33;34;35;36;37;38;39;40;52;59;60;61;63;64;65;67;68;69;70;71;72;73;74;76;77;78;79;80;81;84;86;90;91;92
evcsReal_N100_A0.10_S71.txt,100,0.10,100,0.9,0.010000,4000,200,2,1215,121500,1.7223e+07,1.7223e+07,0,49,100,si,10.32,8;9;10;17;19;20;21;22;23;24;26;27;30;31;32;33;34;35;36;37;38;39;40;47;51;52;58;60;61;62;63;64;67;69;71;72;73;74;76;77;78;79;80;81;82;84;87;91;94
